DataYear,DataYear_cat,Country,Region,Gender,Age_years,Age_years_cat,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_school,Travel_time_to_school,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_internet_access,Left_Footlength_cm,Longer_foot,Index_fingerlength_mm,Ring_fingerlength_mm,Longer_finger_lefthand,Birth_month,Favorite_season,Allergies,Vegetarian,Favorite_food,Beverage,Favorite_school_subject,Sleep_hours_schoolnight,Sleep_hours_non_schoolnight,Home_occupants,Home_internet_access,Communication_with_friends,Text_messages_sent_yesterday,Text_messages_received_yesterday,Activities_hanging_out_with_friends_hours,Activities_talking_on_phone_hours,Activities_doing_homework_hours,Activities_doing_things_with_family_hours,Activities_outdoor_activities_hours,Activities_video_games_hours,Activities_social_websites_hours,Activities_texting_messaging_hours,Activities_computer_use_hours,Activities_Watching_TV_Hours,Activities_paid_work_hours,Activities_work_at_home_hours,Schoolwork_pressure,Schoolwork_pressure_reord,Planned_education_level,Favorite_music,Superpower,Preferred_status,Role_model_type,Charity_donation,
"2012","[2012]","USA","MD","Female","14","[14]","Right-Handed","154","23","147","2","Car","20","0.457","51","Tennis","1000","604","706","850","305","487","23","Same length","85","95","Ring finger","December","Winter","No","No","Pizza/Pasta","Powdered drink","Art","9","11","2","Yes - broadband connection","Text messaging","0","0","12","0","22","24","0","10","0","1","10","24","0","24","A lot","4.A lot","Graduate degree","Pop","Invisibility","Healthy","Relative","Health",
"2015","[2015]","USA","MA","Female","12","[12]","Right-Handed","148","22","150","1","Car","10","0.5","41","Other","900","500","300","200","0","0","23","Left foot","61","70","Ring finger","December","Spring","","","Pizza/Pasta","Water","Mathematics and statistics","9","8","4","Yes - other","In person","3","6","10","1","5","3","12","1","1","1","2","5","0","3","A lot","4.A lot","Graduate degree","Pop","Telepathy","Happy","Sports person","Health",
"2015","[2015]","USA","CA","Female","13","[13]","Left-Handed","162","26","163","2","Bus","39","0.44","45","Running/Jogging","1000","900","1000","900","100","900","26","Same length","80","70","Index finger","June","Summer","Yes","No","Pizza/Pasta","Milk","English","8","9","4","Yes - other","Cell phone","5","5","1","2","15","4","4","0","0","1","1","0","0","5","Some","3.Some","Graduate degree","Pop","Fly","Happy","Other","Environment",
"2012","[2012]","USA","NY","Female","12","[12]","Right-Handed","153","22","158","1","Walk","30","0.373","30","Skateboarding/Rollerblading","642","717","738","679","225","91","22","Same length","84","82","Index finger","October","Summer","Yes","No","Fruit","Water","Music","9","9","5","Yes - other","In person","0","0","50","0","70","80","90","65","65","45","65","30","0","50","Some","3.Some","Graduate degree","Rock and roll","Telepathy","Healthy","Relative","International aid",
"2013","[2013]","USA","RI","Female","11","[11]","Right-Handed","148","24","155","2","Car","5","0.356","35","Dancing","1000","1000","750","1000","500","500","23","Right foot","60","60","Same length","July","Summer","Yes","No","Meat","Water","Art","8","9","4","Yes - broadband connection","Text messaging","55","52","45","2","2","10","6","0","1","2","2","1","4","2","A lot","4.A lot","Graduate degree","Pop","Telepathy","Rich","Politician","Wildlife, animals",
"2010","[2010]","USA","FL","Female","14","[14]","Right-Handed","154","21","155","2","Bus","25","0.556","39","Tennis","433","749","743","","100","583","21","Same length","77","74","Index finger","December","Spring","No","No","Seafood","Milk","Science","7","12","5","Yes - other","In person","0","0","3","1","25","33","5","0","0","0","5","3","0","10","A lot","4.A lot","Graduate degree","Pop","Fly","Rich","Relative","Wildlife, animals",
"2015","[2015]","USA","CA","Female","12","[12]","Right-Handed","160","26","109","2","Bicycle","15","0.439","39","Soccer","900","900","1000","1000","10","1","26","Same length","75","70","Index finger","November","Spring","No","Yes","Fruit","Water","Physical education","10","11","5","Yes - other","Cell phone","0","1","3","1","17","4","14","1","0","0","5","5","0","1","A lot","4.A lot","Graduate degree","Classical","Telepathy","Happy","Sports person","Arts, culture, sports",
"2015","[2015]","USA","WI","Female","13","[13]","Right-Handed","172","26","172","1","Car","6","0.338","33","Soccer","1000","800","900","800","700","500","27","Left foot","90","90","Same length","February","Spring","No","No","No favorite","Water","Science","9","10","4","Yes - broadband connection","Text messaging","15","17","17","0","7","21","10","5","10","2","1","1","0","3","A lot","4.A lot","Graduate degree","Pop","Fly","Happy","Coach or club leader","Health",
"2010","[2010]","USA","DC","Female","12","[12]","Right-Handed","157","23.5","168","1","Car","20","0.355","48","Dancing","754","1000","492","","631","1000","24","Left foot","90","80","Index finger","February","Fall","Yes","No","Pizza/Pasta","Powdered drink","Social studies","7","","3","Yes - broadband connection","In person","367","369","8","2","1","2","2","0","9","11","9","1","0","2","Very little","2.Very little","High school","Other","Fly","Famous","Other","Health",
"2015","[2015]","USA","CA","Female","14","[14]","Right-Handed","155","21","155","1","Walk","10","0.43","66","Gymnastics","535","952","882","647","1000","1000","22","Left foot","","","","December","Summer","Yes","No","Meat","Tea","","7","9","2","Yes - other","Text messaging","10","11","6","1","5","5","1","3","3","2","4","9","1","1","A lot","4.A lot","Graduate degree","Rap/Hip hop","Fly","Healthy","Relative","Wildlife, animals",
"2013","[2013]","USA","WI","Female","13","[13]","Right-Handed","165","23","153","2","Bus","30","0.469","36","Dancing","358","294","374","497","600","850","23","Same length","80","70","Index finger","February","Summer","","No","Fruit","Juice","Other","9","11","4","Yes - other","Text messaging","60","65","4","2","2","4","3","1","10","12","7","2","1","2","Some","3.Some","Undergraduate degree","Country","Telepathy","Healthy","Relative","Wildlife, animals",
"2015","[2015]","USA","MD","Female","14","[14]","Right-Handed","162","36","162","2","Walk","4","0.893","37","Dancing","100","1000","1000","1000","100","300","36","Same length","","","","July","Fall","Yes","No","Pizza/Pasta","Water","English","8","9","5","Yes - broadband connection","In person","100","150","50","1","15","1","20","0","1","30","1","1","0","5","Some","3.Some","Graduate degree","Punk rock","Fly","Happy","Teacher","Wildlife, animals",
"2011","[2011]","USA","GA","Female","11","[11]","Right-Handed","151","21","153","2","Bus","35","0.406","41","Tennis","481","673","321","","786","801","21","Same length","70","65","Index finger","August","Fall","No","No","Rice/Noodle dishes","Soft drink (non-caffeinated)","Art","9","6","3","Yes - broadband connection","In person","0","0","2","0","5","3","4","3","0","0","4","5","0","2","Some","3.Some","Graduate degree","Pop","Freeze time","Happy","Friend","Arts, culture, sports",
"2014","[2014]","USA","WI","Female","14","[14]","Right-Handed","155","29","152","1","Bus","30","0.261","42","Basketball","200","400","1000","1000","1000","1000","28","Right foot","110","80","Index finger","July","Summer","Yes","No","Poultry","Water","English","6","12","6","Yes - other","Internet chat or instant messaging","6","2","2","1","1","2","3","5","6","1","1","2","3","1","Some","3.Some","Some college","Rap/Hip hop","Telepathy","Rich","Musician or singer","Wildlife, animals",
"2011","[2011]","USA","HI","Female","13","[13]","Left-Handed","175","26.67","175","1","Car","45","0.486","37","Basketball","55","300","989","","1000","1000","27","Same length","","","","July","Summer","No","No","Meat","Water","Mathematics and statistics","6","10","2","Yes - broadband connection","Text messaging","115","120","50","20","18","12","14","0","14","14","21","7","0","3","A lot","4.A lot","Graduate degree","Rhythm and blues (R&B)","Invisibility","Rich","Friend","Arts, culture, sports",
"2014","[2014]","USA","WI","Female","12","[12]","Left-Handed","157","30","153","2","Bus","3","0.858","54","Swimming","947","556","904","1000","0","0","21","Right foot","80","80","Same length","August","Summer","No","No","Pizza/Pasta","Juice","Art","8","11","4","Yes - broadband connection","Cell phone","30","100","11","5","2","2","2","1","5","5","1","6","0","3","Some","3.Some","Graduate degree","Pop","Super strength","Famous","Teacher","Wildlife, animals",
"2013","[2013]","USA","WI","Female","13","[13]","Right-Handed","153","24","154","2","Bus","23","0.491","69","Swimming","1000","1000","631","198","1000","1000","23","Right foot","70","80","Ring finger","May","Winter","No","No","Meat","Water","English","9","12","5","Yes - broadband connection","Text messaging","20","20","6","2","12","10","10","4","2","3","5","10","10","4","A lot","4.A lot","Graduate degree","Country","Freeze time","Healthy","Business person","Wildlife, animals",
"2014","[2014]","USA","WI","Female","11","[11]","Right-Handed","155","21.5","160","2","Car","5","0.548","39","Bowling","503","1000","1000","995","540","540","21","Right foot","","","","October","Fall","No","No","Meat","Water","Music","8","10","2","Yes - other","In person","0","0","14","0","7","49","14","7","7","0","7","21","4","4","Some","3.Some","Graduate degree","Pop","Freeze time","Happy","Friend","Health",
"2015","[2015]","USA","MD","Female","14","[14]","Right-Handed","167","25","167","1","Car","15","0.863","59","Soccer","500","500","500","500","500","500","23","Right foot","","","","August","Fall","No","No","Meat","Water","Science","8","10","3","Yes - broadband connection","Text messaging","50","40","18","6","15","8","11","0","7","9","10","5","0","3","Some","3.Some","Graduate degree","Other","Telepathy","Happy","Friend","Health",
"2015","[2015]","USA","CA","Female","13","[13]","Right-Handed","164","25","168","1","Car","15","0.36","44","Dancing","615","187","1000","112","765","765","25","Same length","80","70","Index finger","November","Summer","No","No","No favorite","Juice","Art","7","13","3","Yes - other","Text messaging","60","50","25","1","15","5","5","0","7","20","45","10","3","6","Some","3.Some","Graduate degree","Pop","Invisibility","Famous","Actor","International aid",
"2015","[2015]","USA","MA","Female","13","[13]","Right-Handed","161","24","162","1","Bus","20","0.352","33","Dancing","750","600","400","500","400","700","24","Same length","61","60","Index finger","March","Fall","No","No","Fruit","Juice","Mathematics and statistics","8","8.5","5","Yes - broadband connection","Text messaging","25","35","35","0","7","22","4","1","3","4","16","11","0","0","Very little","2.Very little","Graduate degree","Pop","Fly","Healthy","Relative","Health",
"2014","[2014]","USA","GU","Female","12","[12]","Right-Handed","135","24","125","2","Bus","15","0.575","59","Table Tennis","989","1000","998","1000","450","250","22","Right foot","100","60","Index finger","October","Spring","Yes","No","Desserts","Water","Music","10","6","5","Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog","5","10","5","1","3","2","1","3","2","1","4","0","0","3","Some","3.Some","Graduate degree","Other","Telepathy","Happy","Other","International aid",
"2013","[2013]","USA","RI","Female","12","[12]","Right-Handed","161","26","160","1","Car","40","0.909","51","Hockey (Ice)","0","471","332","198","540","1000","27","Left foot","60","60","Same length","August","Fall","No","No","Meat","Water","Science","8","10","3","Yes - other","Cell phone","100","150","6","1","5","7","10","2","5","7","7","4","0","1","Some","3.Some","Some college","Pop","Fly","Famous","Relative","Wildlife, animals",
"2011","[2011]","USA","AZ","Female","14","[14]","Right-Handed","159","24","159","2","Car","30","0.327","36","Swimming","995","900","850","","500","800","24","Same length","95","100","Ring finger","July","Winter","No","No","Fruit","Tea","Art","7","8","4","Yes - broadband connection","In person","30","35","6","0","5","8","7","5","3","3","15","2","2","5","Some","3.Some","Other","Other","Telepathy","Healthy","Religious figure","International aid",
"2014","[2014]","USA","IL","Female","11","[11]","Right-Handed","143","23","141","1","Bus","15","0.975","59","Swimming","1000","1000","1000","1000","1000","1000","23","Same length","90","80","Index finger","July","Summer","Yes","No","Fruit","Water","Music","8","10","5","Yes - broadband connection","Text messaging","3","5","2","1","18","80","20","0","5","10","10","15","0","50","Some","3.Some","Graduate degree","Pop","Freeze time","Healthy","Religious figure","Religious",
"2015","[2015]","USA","NY","Female","11","[11]","Right-Handed","158","22","156","1","Car","15","0.744","46","Baseball/Softball","1000","1000","1000","1000","0","0","23","Left foot","60","60","Same length","August","Summer","No","","Salads","Tea","Art","9","7","4","Yes - other","In person","0","0","12","1","3","20","7","3","0","0","1","5","0","1","A lot","4.A lot","Undergraduate degree","Pop","Fly","Healthy","Relative","Wildlife, animals",
"2014","[2014]","USA","GU","Female","13","[13]","Right-Handed","172","24","159","2","Bus","30","0.46","40","Swimming","1000","50","1000","150","1000","1000","23","Right foot","70","70","Same length","February","Spring","No","No","Rice/Noodle dishes","Other","Other","7","9","5","Yes - broadband connection","Telephone","30","40","40","3","10","50","8","49","49","1","49","0","0","56","A lot","4.A lot","Other","Pop","Telepathy","Healthy","Friend","Health",
"2013","[2013]","USA","RI","Female","14","[14]","Right-Handed","165","22","162","1","Car","15","0.347","39","Soccer","500","900","700","950","300","500","21","Right foot","70","70","Same length","April","Summer","No","No","Pizza/Pasta","Soft drink (caffeinated)","Physical education","8","7","5","Yes - broadband connection","Text messaging","100","300","17","5","7","17","10","2","1","5","1","7","0","2","None","1.None","High school","Pop","Fly","Rich","Other","Wildlife, animals",
"2012","[2012]","USA","CA","Female","12","[12]","Right-Handed","165","22","152","2","Car","5","0.482","70","Dancing","1000","1000","1000","1000","50","100","22","Same length","70.5","70.2","Index finger","July","Summer","No","No","No favorite","Water","Social studies","10","7","6","Yes - other","In person","0","0","3","1","3","38","4","0","0","0","1","3","0","2","Very little","2.Very little","Graduate degree","Pop","Invisibility","Healthy","Relative","Education/Youth development",
"2013","[2013]","USA","NY","Female","13","[13]","Right-Handed","160","22","155","1","Bus","25","0.484","55","Lacrosse","750","850","650","850","600","601","22","Same length","78","76","Index finger","September","Winter","No","No","Pizza/Pasta","Water","Art","8","11","5","Yes - broadband connection","Text messaging","125","200","4","1","15","20","7","0","3","5","6","5","0","8","Some","3.Some","Graduate degree","Rock and roll","Freeze time","Happy","Relative","International aid",
"2014","[2014]","USA","CA","Female","11","[11]","Right-Handed","154","21","149","1","Car","5","0.895","58","Martial Arts","85","90","70","70","0","10","23","Left foot","60","65","Ring finger","March","Summer","Yes","No","Salads","Water","Mathematics and statistics","11","10","3","Yes - broadband connection","In person","0","0","12","30","4","9","12","0","0","0","5","2","0","4","None","1.None","Graduate degree","Country","Fly","Happy","Relative","Wildlife, animals",
"2015","[2015]","USA","NY","Female","11","[11]","Right-Handed","137","19","136","1","Car","3","0.772","50","Soccer","1000","936","1000","807","0","246","20","Left foot","60","60","Same length","July","Winter","No","No","Other","Water","Physical education","8","6","5","Yes - other","Myspace, Facebook, other social networking sites, or blog","50","100","30","5","1","20","20","0","5","5","5","0","14","1","A lot","4.A lot","Graduate degree","Country","Fly","Famous","Sports person","Health",
"2013","[2013]","USA","RI","Female","11","[11]","Right-Handed","140","20","139","2","Car","4","0.793","48","Dancing","500","750","800","600","99","500","20","Same length","70","70","Same length","July","Summer","Yes","No","Desserts","Water","Art","9","11","5","","Myspace, Facebook, other social networking sites, or blog","3","5","42","5","5","14","18","25","22","10","25","15","2","5","Some","3.Some","Graduate degree","Pop","Invisibility","Healthy","Relative","Health",
"2013","[2013]","USA","WI","Female","13","[13]","Right-Handed","165","22.86","170","2","Bus","3","0.436","60","Dancing","701","583","626","433","770","626","23","Same length","80","70","Index finger","February","Summer","Yes","No","Desserts","Water","Languages","8","10","3","Yes - broadband connection","In person","0","0","1","0","1","0","3","0","0","0","5","2","0","1","Very little","2.Very little","Less than high school","Rock and roll","Invisibility","Rich","Actor","Arts, culture, sports",
"2015","[2015]","USA","CA","Female","11","[11]","Right-Handed","154","22","154","2","Car","5","0.4","38","Dancing","11","11","16","16","583","818","23","Left foot","70","65","Index finger","September","Fall","No","No","No favorite","Tea","Music","7","8.5","4","Yes - broadband connection","Text messaging","16","15","1","1","14","5","18","0","0","1","42","0","0","1","Some","3.Some","Graduate degree","Classical","Super strength","Happy","Other","Religious",
"2014","[2014]","USA","NY","Female","12","[12]","Right-Handed","127","23","120","1","Car","6","0.459","66","Football (American)","550","550","550","600","850","850","23","Same length","75","75","Same length","November","Summer","No","No","Meat","Tea","Art","5","","7","Yes - broadband connection","Text messaging","100","95","10","2","5","100","10","3","4","96","5","3","0","5","Some","3.Some","Graduate degree","Country","Freeze time","Healthy","Relative","Arts, culture, sports",
"2014","[2014]","USA","CA","Female","11","[11]","Right-Handed","155","22.9","150","2","Car","4","0.299","38","Dancing","1000","1000","1000","1000","513","743","20","Right foot","63.5","63.5","Same length","June","Summer","No","No","Fruit","Water","Music","9","10","5","Yes - other","Text messaging","1","2","90","1","5","6","5","1","14","2","20","15","0","0","Some","3.Some","Graduate degree","Gospel","Telepathy","Healthy","Religious figure","International aid",
"2015","[2015]","USA","WI","Female","12","[12]","Right-Handed","150","26","157","3","Bus","60","0.25","24","Basketball","1000","1000","1000","1000","283","283","26","Same length","","","","June","Fall","Yes","No","Pizza/Pasta","Water","Art","8","13","4","No internet connection","Internet chat or instant messaging","100","107","9","3","1","3","5","1","4","4","4","5","0","2","A lot","4.A lot","Some college","Country","Telepathy","Healthy","Friend","International aid",
"2015","[2015]","USA","MA","Female","13","[13]","Left-Handed","148","20","137","2","Bus","4","0.664","88","Soccer","900","1000","1000","1000","750","800","21","Left foot","60","63","Ring finger","June","Summer","No","No","No favorite","Water","Mathematics and statistics","9","8","4","Yes - broadband connection","Text messaging","32","26","2","1","3","3","2","2","3","5","5","2","0","2","A lot","4.A lot","Graduate degree","Other","Invisibility","Happy","Relative","Wildlife, animals",
"2012","[2012]","USA","TX","Female","13","[13]","Right-Handed","163","23","147","2","Car","10","0.574","38","Swimming","900","850","900","950","400","500","23","Same length","75","75","Same length","July","Summer","No","No","No favorite","Water","Other","8","9","4","Yes - broadband connection","Text messaging","100","100","7","1","9","6","5","0","2","3","7","2","0","3","Some","3.Some","Graduate degree","Other","Fly","Healthy","Other","Wildlife, animals",
"2011","[2011]","USA","GA","Female","12","[12]","Right-Handed","145","20.32","156","2","Bus","7","0.375","40","Tennis","450","315","595","","1000","1000","20","Same length","70","60","Index finger","August","Spring","No","No","Rice/Noodle dishes","Milk","Mathematics and statistics","9","12","4","Yes - broadband connection","Cell phone","6","8","5","2","10","5","4","7","7","2","8","2","0","1","Very little","2.Very little","Graduate degree","Pop","Telepathy","Rich","Doctor or nurse","Education/Youth development",
"2013","[2013]","USA","GA","Female","12","[12]","Right-Handed","135","25","173","2","Bus","15","0.405","45","Running/Jogging","400","400","600","600","780","1000","25","Same length","90","100","Ring finger","November","Summer","No","No","Desserts","Energy drink","Physical education","10","13","7","Yes - other","Text messaging","59","60","8","0","4","5","5","0","0","4","9","1","0","0","A lot","4.A lot","Graduate degree","Pop","Telepathy","Famous","Relative","Health",
"2012","[2012]","USA","DC","Female","12","[12]","Right-Handed","161","23","165","2","Car","15","1.183","39","","1000","1000","900","900","100","100","23","Same length","110","70","Index finger","March","","No","No","No favorite","","Art","7","10","6","Yes - other","","23","24","30","5","7","8","6","10","9","20","10","8","0","4","A lot","4.A lot","Other","Other","Freeze time","Healthy","Actor","International aid",
"2015","[2015]","USA","NY","Female","13","[13]","Right-Handed","165","23","160","2","Car","15","0.838","44","Swimming","800","600","500","500","200","300","23","Same length","110","110","Same length","October","Fall","No","Yes","Seafood","Tea","Art","9","","5","Yes - other","Text messaging","32","30","35","5","12","35","15","14","21","12","35","3","0","6","A lot","4.A lot","Graduate degree","Punk rock","Freeze time","Happy","Other","Wildlife, animals",
"2011","[2011]","USA","DC","Female","11","[11]","Right-Handed","160","24","160","1","Car","45","0.577","54","Swimming","1000","1000","476","","797","968","23","Right foot","70","70","Same length","July","Summer","Yes","No","Seafood","Juice","Computers and technology","8","5","5","Yes - broadband connection","In person","9","10","1","1","2","3","4","2","2","1","3","4","2","2","Some","3.Some","Graduate degree","Rap/Hip hop","Fly","Famous","Sports person","Health",
"2015","[2015]","USA","CA","Female","14","[14]","Right-Handed","157","23","157","2","Walk","15","0.459","56","None","0","50","50","1000","1000","1000","21","Right foot","70","70","Same length","May","Summer","No","No","Other","Energy drink","Physical education","7","7","6","Yes - other","Myspace, Facebook, other social networking sites, or blog","15","15","0","9","1","1","0","9","9","9","9","1","0","5","A lot","4.A lot","High school","Other","Invisibility","Rich","","Health",
"2014","[2014]","USA","WI","Female","13","[13]","Right-Handed","165","26","168","1","Bus","12","0.468","37","Basketball","900","900","1000","1000","1000","1000","25","Right foot","84","82","Index finger","February","Summer","Yes","No","Meat","Water","Physical education","10","9","5","Yes - broadband connection","In person","15","15","40","1","2","20","14","1","14","10","10","4","7","7","Very little","2.Very little","Graduate degree","Country","Telepathy","Happy","Relative","Health",
"2013","[2013]","USA","TX","Female","11","[11]","Right-Handed","140","15","130","1","Car","4","0.327","36","Dancing","1000","1000","1000","1000","64","412","15","Same length","60","70","Ring finger","January","Fall","Yes","No","Fruit","Juice","Science","8","10","4","Yes - other","Cell phone","20","22","40","15","3","6","8","0","0","0","0","20","5","10","Very little","2.Very little","Graduate degree","Pop","Invisibility","Famous","Other","Education/Youth development",
