Age,Gender,Repeat,Reason,ReasonOther,VisitFreq,ArtInterest,ArtInterestScale,PrevTourGen,TourToday,TourTodayHelp,TourType,TourTypeOther,TourLength,NewTech,TechInterestScale,TourSatisfaction,TourSatisfactionScale,VisitSatisfaction,SatisfactionScale,VisitLearning,LearningScale,Feedback
25-34,Female,Yes,For leisure,,Not frequent,Moderately interested,3,Yes,No,,Human tour guide,,30-60 minutes,Somewhat likely,4,Probably yes,4,Somewhat satisfied,4,Some new knowledge gained,3,
65 and older,Female,Yes,For leisure,,Somewhat frequent,Moderately interested,3,No,No,,Audio guide,,,Somewhat likely,4,Probably yes,4,Extremely satisfied,5,Significant new knowledge gained,4,
25-34,Male,Yes,"For leisure,To visit with friends/family",,Once or twice,Very interested,4,No,No,,Augmented reality,,,Somewhat likely,4,Probably not,2,Somewhat satisfied,4,Little new knowledge gained,2,
18-24,Female,No,For academic,,Not frequent,Moderately interested,3,No,No,,Human tour guide,,15-30 minutes,Somewhat likely,4,Probably yes,4,Somewhat satisfied,4,Some new knowledge gained,3,
18-24,Female,No,For academic,,Not frequent,Moderately interested,3,No,No,,Human tour guide,,15-30 minutes,Somewhat likely,4,Probably yes,4,Somewhat satisfied,4,Some new knowledge gained,3,
65 and older,Female,Yes,For leisure,,Somewhat frequent,Extremely interested,5,No,No,,Human tour guide,,15-30 minutes,Somewhat likely,4,Probably yes,4,Extremely dissatisfied,1,Significant new knowledge gained,4,
65 and older,Female,Yes,To visit with friends/family,,Somewhat frequent,Very interested,4,Yes,No,,Human tour guide,,30-60 minutes,Extremely unlikely,1,Definitely not,1,Extremely satisfied,5,No new knowledge gained,1,
65 and older,Female,Yes,For leisure,,Not frequent,Very interested,4,Yes,No,,Audio guide,,,Extremely unlikely,1,Definitely yes,5,Extremely satisfied,5,Significant new knowledge gained,4,
18-24,Female,No,For academic,,Not frequent,Not at all interested,1,No,No,,Pamphlet/brochure,,,Somewhat unlikely,2,Probably yes,4,Somewhat satisfied,4,Little new knowledge gained,2,
18-24,Male,No,To visit with friends/family,,Somewhat frequent,Very interested,4,Yes,No,,Human tour guide,,30-60 minutes,Somewhat likely,4,Probably yes,4,Somewhat satisfied,4,Little new knowledge gained,2,
45-54,Male,No,For leisure,,Very frequent,Extremely interested,5,No,No,,Other (please specify),None,,Neither likely nor unlikely,3,Probably not,2,Extremely satisfied,5,Significant new knowledge gained,4,
65 and older,Male,No,For leisure,,Somewhat frequent,Extremely interested,5,No,No,,Audio guide,,,Somewhat likely,4,Probably yes,4,Somewhat satisfied,4,Significant new knowledge gained,4,
65 and older,Female,No,For leisure,,Somewhat frequent,Very interested,4,Yes,No,,Audio guide,,,Extremely likely,5,Probably yes,4,Extremely satisfied,5,Some new knowledge gained,3,
25-34,Female,Yes,For leisure,,Not frequent,Moderately interested,3,No,No,,Augmented reality,,,Somewhat likely,4,Probably yes,4,Somewhat satisfied,4,Little new knowledge gained,2,
35-44,Male,No,For leisure,,Once or twice,Moderately interested,3,No,No,,Human tour guide,,60+ minutes,Neither likely nor unlikely,3,Probably yes,4,Extremely satisfied,5,Significant new knowledge gained,4,
45-54,Male,Yes,To visit with friends/family,,Once or twice,Moderately interested,3,No,No,,Pamphlet/brochure,,,Neither likely nor unlikely,3,Probably not,2,Extremely dissatisfied,1,Significant new knowledge gained,4,
45-54,Female,Yes,For leisure,,Once or twice,Very interested,4,Yes,No,,Human tour guide,,30-60 minutes,Extremely unlikely,1,Probably yes,4,Extremely satisfied,5,Little new knowledge gained,2,
45-54,Male,Yes,For leisure,,Not frequent,Slightly interested,2,No,No,,Human tour guide,,30-60 minutes,Somewhat unlikely,2,Probably yes,4,Somewhat satisfied,4,Extensive new knowledge gained,5,
35-44,Male,No,"For academic,For leisure",,Very frequent,Extremely interested,5,Yes,No,,Human tour guide,,30-60 minutes,Somewhat likely,4,Probably yes,4,Extremely satisfied,5,Some new knowledge gained,3,
65 and older,Male,Yes,For leisure,,Very frequent,Extremely interested,5,No,No,,Pamphlet/brochure,,,Neither likely nor unlikely,3,Probably not,2,Extremely satisfied,5,Significant new knowledge gained,4,
65 and older,Female,Yes,For leisure,,Very frequent,Extremely interested,5,No,No,,Other (please specify),,,Somewhat unlikely,2,Probably yes,4,Extremely satisfied,5,Significant new knowledge gained,4,I would love to live with the green Helen Frankenthaler piece. I also enjoyed the woodblock tree prints very much.
45-54,Male,No,For leisure,,Somewhat frequent,Very interested,4,No,No,,Audio guide,,,Somewhat likely,4,Probably yes,4,Somewhat satisfied,4,Some new knowledge gained,3,
18-24,Female,Yes,"For leisure,To visit with friends/family",,Somewhat frequent,Extremely interested,5,No,No,,Human tour guide,,30-60 minutes,Somewhat unlikely,2,Probably yes,4,Extremely satisfied,5,Some new knowledge gained,3,â¤ï¸
18-24,Male,Yes,For leisure,,Somewhat frequent,Moderately interested,3,No,No,,Human tour guide,,0-15 minutes,Neither likely nor unlikely,3,Probably not,2,Somewhat satisfied,4,Some new knowledge gained,3,
18-24,Male,No,To visit with friends/family,,Once or twice,Very interested,4,Yes,No,,Human tour guide,,15-30 minutes,Somewhat likely,4,Probably yes,4,Somewhat satisfied,4,Some new knowledge gained,3,
55-64,Male,No,For leisure,,Somewhat frequent,Very interested,4,Yes,Yes,Extremely helpful,Human tour guide,,30-60 minutes,Somewhat unlikely,2,,,Extremely satisfied,5,Some new knowledge gained,3,
55-64,Female,No,For leisure,,Somewhat frequent,Very interested,4,No,Yes,Extremely helpful,Human tour guide,,30-60 minutes,Extremely unlikely,1,,,Extremely satisfied,5,Significant new knowledge gained,4,I greatly enjoyed the docent tour today and will definitely plan to come back to this museum.
65 and older,Male,Yes,For academic,,Very frequent,Extremely interested,5,Yes,No,,Other (please specify),Human and audio,,Somewhat unlikely,2,Probably yes,4,Extremely satisfied,5,Some new knowledge gained,3,
18-24,Female,No,"For leisure,To attend a special event or program",,Somewhat frequent,Very interested,4,Yes,No,,Pamphlet/brochure,,,Somewhat unlikely,2,Probably yes,4,Somewhat satisfied,4,Some new knowledge gained,3,
18-24,Male,No,For leisure,,Not frequent,Slightly interested,2,Yes,No,,Human tour guide,,15-30 minutes,Somewhat likely,4,Probably yes,4,Somewhat satisfied,4,Some new knowledge gained,3,
18-24,Male,Yes,For academic,,Not frequent,Moderately interested,3,Yes,No,,Augmented reality,,,Neither likely nor unlikely,3,Probably yes,4,Neither satisfied nor dissatisfied,3,Little new knowledge gained,2,
65 and older,Male,Yes,For leisure,,Somewhat frequent,Very interested,4,Yes,No,,Human tour guide,,30-60 minutes,Extremely unlikely,1,Probably yes,4,Extremely satisfied,5,Some new knowledge gained,3,
65 and older,Female,Yes,Other (please specify),,Somewhat frequent,Very interested,4,Yes,No,,Human tour guide,,15-30 minutes,Neither likely nor unlikely,3,Probably yes,4,Extremely satisfied,5,Some new knowledge gained,3,
18-24,Male,Yes,For academic,,Somewhat frequent,Very interested,4,Yes,No,,Human tour guide,,15-30 minutes,Somewhat likely,4,Probably yes,4,Somewhat satisfied,4,Some new knowledge gained,3,
